pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
317.91,424.99,514.66,327.02,762.17,509.92
317.94,424.97,515.1,327.13,769.123082,510.729189
317.94,424.83,515.82,327.22,769.72,513.04
317.98,424.9,515.96,327.34,770.38,515.05
318.01,424.95,516.12,327.31,770.9,517.19
318.03,424.98,516.37,327.27,771,519.59
318.04,424.89,517.03,327.23,771.13,522.01
318.07,424.77,517.71,327.2,771.37,524.17
318.11,424.82,517.92,327.26,769.123082,526.019597
318.15,424.88,518.08,327.48,768.52,528.21
318.18,424.9,518.34,328.16,768.52,530.09
318.2,424.8,518.99,329.02,768.34,531.92
318.22,424.59,519.74,329.93,768.19,533.67
318.24,424.45,520,330.91,768.16,535.03
318.26,424.51,520.13,331.96,768.22,536.3
318.29,424.81,520.25,332.86,768.02,537.84
318.3,424.81,520.58,333.87,769.571882,541.974804
318.35,424.75,521.09,334.69,770.37,543.16
318.36,424.52,521.86,335.79,769.88,544.71
318.37,424.22,522.48,336.58,769.63,545.83
318.39,424.23,522.74,328.170123,768.96,546.93
318.39,424.28,522.89,327.07,768.25,547.94
318.41,424.32,523.01,329.835598,769.571882,551.282009
318.4,424.38,523.08,328.836313,769.82,551.92
318.39,424.4,523.21,329.05,769.58,552.88
318.37,424.41,523.33,329.02,768.93,553.7
318.34,424.4,523.53,328.97,766.879081,555.270811
318.34,424.28,524,328.88,766.48,555.68
318.32,424.28,524.06,328.78,766.11,556
318.28,424.27,524.11,328.63,765.93,556.27
318.24,424.26,524.15,327.84,766.879081,556.600411
318.21,424.24,524.2,326.99,767.46,557.15
318.17,424.22,524.26,326.1,767.78,557.3
318.12,424.19,524.27,325.18,766.879081,559.259613
318.06,424.16,524.31,325.838458,766.879081,559.259613
318.02,424.12,524.31,325.838458,766.879081,556.600411
317.98,424.07,524.32,325.838458,766.43028,556.600411
317.94,424.03,524.31,325.838458,765.53268,556.600411
317.9,423.98,524.29,324.506078,765.53268,556.600411
317.86,423.93,524.24,321.175128,766.43028,560.589213
317.81,423.89,524.18,322.174413,767.32,560.9
317.93,423.8,524.14,321.94,768.02,559.54
317.86,423.7,524.1,322,768.85,558.04
317.79,423.58,524.05,322.840603,769.76,556.48
317.69,423.21,524.09,321.508223,770.62,554.75
317.57,423.11,524.04,321.34,770.72,552.19
317.06,423.02,523.99,321.14,770.73,549.43
317.04,422.94,523.94,321.02,770.75,546.68
316.97,422.84,523.88,316.511798,770.69,543.87
316.95,422.73,523.81,314.180134,770.54,540.95
316.88,422.59,523.76,313.68,769.86,537.85
316.86,422.19,523.77,313.46,769.04,534.78
316.96,422.08,523.65,313.31,768.15,531.84
317.06,422.02,523.45,314.846324,765.53268,528.013998
317.02,422.03,522.99,315.17,767.327881,527.349197
316.97,421.93,522.92,315.71,767.91,525.96
316.92,421.81,522.85,315.79,769.571882,524.689996
316.85,421.69,522.76,315.78,770.64,523.62
316.79,421.46,522.72,315.95,770.020682,520.036394
316.72,421.12,522.71,315.98,769.82,518.09
316.6,421.04,522.53,316.05,769.83,516.58
316.07,421.1,521.97,316.14,769.78,515.13
316.01,421.13,521.46,313.513944,769.91,513.92
315.97,421.07,521.3,312.37,769.123082,512.72359
315.9,421,521.16,311.29,769.09,511.87
315.87,420.91,521.06,314.513229,769.12,510.68
315.98,420.8,520.98,315.12,769.08,509.44
316.09,420.69,520.92,315.17,768.96,508.13
316.04,420.54,520.88,315.05,768.674281,505.410787
315.99,420.2,520.89,315.05,770.918283,502.751585
315.96,420.07,520.84,315.06,769.571882,506.075587
315.91,419.98,520.75,315.08,773.162284,502.086785
315.84,419.89,520.65,315.09,770.469482,500.757184
315.77,419.83,520.53,315.08,770.469482,500.757184
315.69,419.95,519.98,315.08,767.776681,498.097983
315.56,419.86,519.94,315.07,767.327881,497.433183
315.06,419.77,519.91,315.05,766.44,496.28
315,419.69,519.89,315.04,766.49,495.9
314.95,419.6,519.88,315.05,765.98148,490.120379
314.9,419.44,519.91,315.05,765.94,489.74
314.85,419.19,519.96,315.06,765.83,489.36
314.78,419.11,519.95,315.06,765.84,489.19
314.72,419.05,519.95,315.07,765.78,489.11
314.67,419.01,519.95,315.06,765.7,489.2
314.58,418.98,519.96,315.07,765.62,489.4
314.27,418.92,519.98,315.09,765.6,489.64
314.22,418.9,520,315.1,765.6,489.77
314.16,418.87,520.03,315.11,764.186279,490.78518
314.13,418.84,520.07,315.14,763.02,491.77
314.09,418.81,520.13,315.17,763.09,492.11
314.05,418.76,520.21,315.2,762.97,492.74
314.01,418.7,520.29,317.16,761.493478,492.11478
313.98,418.6,520.41,319.15,760.33,493.09
313.93,418.25,521.03,320.98,759.56,494.35
313.9,417.9,521.75,322.78,761.044678,492.779581
313.88,417.9,521.83,323.18,761.98,493.39
313.98,417.89,521.91,323.55,762.9,494.03
314.1,417.89,521.99,323.77,763.79,494.81
314.09,417.88,522.09,324.06,762.839879,498.097983
314.07,417.83,522.25,324.17,762.24,500.57
314.04,417.8,522.38,324.38,762.27,502.59
314.02,417.49,523.06,325.11,762.26,504.84
314,417.02,523.89,326.2,762.32,506.95
313.97,416.87,524.39,326.99,762.32,509.14
313.95,416.79,524.7,327.82,762.29,511.25
313.93,416.79,524.85,328.84,762.23,513.56
313.92,416.8,524.96,329.32,762.16,515.81
313.91,416.77,525.12,329.45,762.21,517.87
313.88,416.73,525.3,329.54,762.36,519.84
313.9,416.69,525.46,329.64,762.53,521.76
313.99,416.36,526.18,329.66,763.31,523.32
313.96,415.99,526.94,329.69,764.4,524.72
313.95,415.77,527.66,329.69,765.28,526.26
313.92,415.75,527.82,329.73,763.737479,537.321202
313.91,415.74,527.94,329.84,761.044678,540.645204
313.89,415.74,528.07,329.98,759.12,543.84
313.87,415.71,528.27,327.503933,762.839879,541.974804
314.02,415.7,528.44,327.66,764.38,542.88
314,415.37,529.13,327.76,762.839879,551.282009
313.96,415.01,529.89,328.09,760.147077,547.958007
313.94,414.94,530.28,328.15,759.2,549.37
313.91,414.84,530.64,328.2,758.61,550.69
313.89,414.8,530.82,328.2,758.36,551.8
313.87,414.8,530.92,328.26,758.24,552.79
313.89,414.79,531.02,328.37,758.08,553.72
313.97,414.78,531.16,328.52,760.595878,553.27641
313.95,414.72,531.35,329.1,760.99,553.83
313.91,414.44,531.99,329.9,760.41,554.84
313.87,414.01,532.71,330.87,759.88,555.68
313.83,413.99,532.81,331.84,759.13,556.37
313.78,413.97,532.88,332.89,758.52,556.96
313.72,413.95,532.95,333.6,758.19,557.62
313.68,413.93,533.02,333.53,757.98,557.87
313.81,413.89,533.08,333.4,757.92,558.04
313.74,413.85,533.13,332.78,759.698277,563.248415
313.65,413.79,533.19,331.91,760.06,563.06
313.49,413.72,533.24,331.05,760.13,563.05
313.08,413.63,533.29,335.165117,759.83,562.42
313.01,413.51,533.35,335.11,756.107875,564.578015
312.94,413.14,533.5,335.04,755.659075,560.589213
312.89,412.93,533.88,334.82,755.34,559.72
312.94,412.82,533.87,334.5,755.659075,559.924413
313,412.71,533.86,333.84,756.4,559.55
312.95,412.52,533.86,333.08,757.23,558.93
312.86,412.17,533.89,332.37,757.98,557.99
312.77,412.06,533.83,332.25,758.81,556.94
312.62,411.94,533.73,332.16,759.75,555.76
312.12,411.84,533.61,332.19,756.107875,553.27641
312.04,411.86,533.06,332.3,754.312675,553.27641
311.96,411.67,532.99,332.38,754.761475,547.293207
311.88,411.41,532.95,336.03,752.966274,549.287608
311.82,411.06,532.91,326.171553,755.659075,547.293207
311.89,410.91,532.8,325.505363,757.11,545.56
311.99,410.78,532.6,326.837743,758.4,543.98
311.93,410.78,532.03,327.04,759.06,542
311.84,410.56,531.95,327.16,759.61,540.02
311.74,410.12,531.91,317.844178,759.87,537.88
311.61,409.96,531.76,315.7,759.99,535.79
311.13,409.87,531.45,319.176558,759.698277,531.337999
311.05,409.81,530.96,319.21,760.03,529.03
310.99,409.57,530.86,319.61,759.249477,528.013998
310.93,409.13,530.78,319.67,759.11,526.27
310.98,409.03,530.45,319.74,760.147077,520.701194
311.07,408.99,529.98,319.86,760.147077,520.701194
311.01,408.81,529.84,319.91,760.01,519.26
310.94,408.6,529.7,319.93,760.13,517.65
310.87,408.16,529.61,319.93,759.698277,515.382791
310.78,408.09,529.24,320.508938,759.19,512.95
310.7,408.02,528.86,316.844893,757.454276,512.72359
310.59,408.08,528.17,316.37,756.19,511.26
