pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
330.86,529.64,451.92,300.99,824.91,436.89
330.85,529.6,451.91,301,824.86,436.86
330.83,529.43,451.95,301.050883,824.86,436.81
331.297173,529.18,452,301,824.83,436.74
331.58,529.14,451.97,300.99,824.84,436.66
331.52,529.11,451.97,301.050883,824.86,436.61
331.5,529.08,451.96,301.02,824.82,436.58
331.25,529.05,451.94,300.99,824.87,436.52
331.25,529.02,451.92,301.366403,824.88,436.44
331.26,528.99,451.91,301.01,824.89,436.45
331.23,528.96,451.9,301,824.79,436.59
331.21,528.93,451.89,301,824.84,436.68
331.19,528.89,451.88,301,824.81,436.73
331.18,528.87,451.89,300.98,824.82,436.79
331.16,528.83,451.87,301.366403,824.79,436.9
331.13,528.77,451.87,299.473281,824.79,436.94
331.11,528.73,451.88,298.97,824.79,436.98
331.09,528.67,451.89,298.99,824.83,437.04
331.1,528.61,451.88,299.01,824.84,437.1
331.08,528.58,451.89,298.99,824.85,437.13
331.07,528.47,451.91,298.98,824.85,437.17
331.05,528.17,451.98,299.03,824.9,437.19
331.04,528.16,451.97,299.01,824.91,437.26
331.02,528.14,451.97,299,824.91,437.28
331.01,528.11,451.96,299.473281,824.85,437.41
331,528.1,451.94,299.02,824.63,437.68
330.99,528.07,451.94,298.99,823.97,438.16
330.97,528.04,451.93,299.01,823.16,438.79
330.96,528.01,451.93,299.01,823.480109,438.127208
330.94,528,451.92,299.473281,823.4,437.92
330.95,527.98,451.92,298.98,823.02,438.07
330.94,527.94,451.93,299.01,823.04,438.13
330.94,527.92,451.93,298.99,823.05,438.21
330.93,527.89,451.92,299,823.05,438.31
330.93,527.86,451.93,299.01,822.96,438.55
330.92,527.82,451.93,298.98,822.94,438.78
330.93,527.77,451.94,298.98,822.95,438.92
330.92,527.72,451.94,298.98,822.99,439.04
330.95,527.68,451.94,299.01,823.02,439.2
331.25,527.63,451.95,298.99,822.96,439.53
331.22,527.55,451.97,298.99,822.9,439.79
331.21,527.23,452.09,299.02,822.93,439.92
331.17,527.2,452.08,299.01,822.99,440.01
331.17,527.16,452.09,299.788801,823.03,440.11
331.14,527.14,452.07,299.788801,823.04,440.21
331.13,527.11,452.07,300.02,823.03,440.35
331.12,527.08,452.08,300.01,822.92,440.65
331.09,527.06,452.08,300.01,822.91,440.85
331.09,527.04,452.09,300.03,822.95,440.97
331.07,527.02,452.08,300.05,822.98,441.04
331.06,526.99,452.07,300.02,822.99,441.17
331.05,526.96,452.08,300.01,822.96,441.29
331.06,526.94,452.08,301.050883,822.88,441.55
331.05,526.9,452.08,301.050883,822.82,441.84
331.04,526.86,452.08,301,822.82,441.98
331.04,526.83,452.08,300.96,822.87,442.12
331.04,526.79,452.1,300.98,822.89,442.25
331.05,526.75,452.11,301,822.86,442.64
331.06,526.73,452.12,300.98,820.523107,442.844301
331.42,526.68,452.12,300.96,819.94,443.92
331.99,526.62,452.13,301.050883,819.15,445
332.51,526.61,452.15,301,818.21,445.97
332.44,526.55,452.17,301.366403,820.523107,443.855107
332.25,526.1,452.53,301.01,821.53,443.9
331.96,525.99,452.88,301.02,822.05,444.02
331.94,525.96,452.89,301.03,822.63,443.94
331.94,525.93,452.9,301,822.88,444.04
331.94,525.91,452.91,301.03,823.04,444.18
331.93,525.89,452.91,299.788801,822.81,444.77
331.93,525.85,452.94,300.01,822.91,445.08
331.92,525.83,452.94,299.99,823.04,445.26
331.9,525.8,452.94,300.01,822.92,445.81
331.89,525.74,452.95,299.99,822.99,446.19
331.87,525.69,452.97,301.681924,822.7,446.98
331.86,525.64,452.98,301.99,821.77,447.98
331.83,525.57,453,302,820.98,448.87
331.83,525.52,453.02,301.97,820.15,449.83
331.84,525.21,453.15,301.97,819.12,450.86
331.84,525.19,453.16,301.98,818.14,451.76
331.83,525.17,453.17,301.99,820.295645,450.59381
331.81,525.14,453.17,301.681924,821.84,450.08
331.83,525.11,453.2,301.681924,820.523107,451.941551
331.82,525.1,453.21,301.681924,820.11,452.92
331.83,525.07,453.21,302.03,820.19,453.21
331.82,525.05,453.2,302.01,820.07,453.72
331.81,525.02,453.23,302.01,820.14,453.96
332.11,525,453.22,301.99,820.3,454.12
332.08,524.98,453.22,302.03,820.14,454.62
332.08,524.95,453.25,302,820.13,454.98
